,"('NoneActivators', 'NoneRepressors')","('SomeActivators', 'NoneRepressors')","('AllActivators', 'NoneRepressors')","('NoneActivators', 'SomeRepressors')","('SomeActivators', 'SomeRepressors')","('AllActivators', 'SomeRepressors')","('NoneActivators', 'AllRepressors')","('SomeActivators', 'AllRepressors')","('AllActivators', 'AllRepressors')"
0,0,0,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
2,0,0,1,0,0,1,0,0,0
3,0,1,1,0,0,1,0,0,0
4,0,0,1,0,0,1,0,0,1
5,0,1,1,0,0,1,0,0,1
6,0,1,1,0,1,1,0,0,0
7,0,1,1,0,1,1,0,0,1
8,0,1,1,0,1,1,0,1,1
9,1,1,1,0,0,0,0,0,0
10,1,1,1,0,0,1,0,0,0
11,1,1,1,0,1,1,0,0,0
12,1,1,1,1,1,1,0,0,0
13,1,1,1,0,0,1,0,0,1
14,1,1,1,0,1,1,0,0,1
15,1,1,1,1,1,1,0,0,1
16,1,1,1,0,1,1,0,1,1
17,1,1,1,1,1,1,0,1,1
